Start time UTC,End time UTC,Wind Turbine (MWh/h)
2023/1/13 14:00,2023/1/13 15:00,2440
2023/1/13 15:00,2023/1/13 16:00,2326
2023/1/13 16:00,2023/1/13 17:00,2234
2023/1/13 17:00,2023/1/13 18:00,2173
2023/1/13 18:00,2023/1/13 19:00,2218
2023/1/13 19:00,2023/1/13 20:00,2153
2023/1/13 20:00,2023/1/13 21:00,2062
2023/1/13 21:00,2023/1/13 22:00,2171
2023/1/13 22:00,2023/1/13 23:00,2229
2023/1/13 23:00,2023/1/14 0:00,2336
2023/1/14 0:00,2023/1/14 1:00,2395
2023/1/14 1:00,2023/1/14 2:00,2357
2023/1/14 2:00,2023/1/14 3:00,2138
2023/1/14 3:00,2023/1/14 4:00,1949
2023/1/14 4:00,2023/1/14 5:00,1649
2023/1/14 5:00,2023/1/14 6:00,1378
2023/1/14 6:00,2023/1/14 7:00,1127
2023/1/14 7:00,2023/1/14 8:00,904
2023/1/14 8:00,2023/1/14 9:00,768
2023/1/14 9:00,2023/1/14 10:00,658
2023/1/14 10:00,2023/1/14 11:00,568
2023/1/14 11:00,2023/1/14 12:00,532
2023/1/14 12:00,2023/1/14 13:00,471
2023/1/14 13:00,2023/1/14 14:00,408
2023/1/14 14:00,2023/1/14 15:00,377
2023/1/14 15:00,2023/1/14 16:00,360
2023/1/14 16:00,2023/1/14 17:00,352
2023/1/14 17:00,2023/1/14 18:00,359
2023/1/14 18:00,2023/1/14 19:00,366
2023/1/14 19:00,2023/1/14 20:00,375
2023/1/14 20:00,2023/1/14 21:00,415
2023/1/14 21:00,2023/1/14 22:00,487
2023/1/14 22:00,2023/1/14 23:00,505
2023/1/14 23:00,2023/1/15 0:00,507
2023/1/15 0:00,2023/1/15 1:00,616
2023/1/15 1:00,2023/1/15 2:00,696
2023/1/15 2:00,2023/1/15 3:00,841
2023/1/15 3:00,2023/1/15 4:00,1181
2023/1/15 4:00,2023/1/15 5:00,1454
2023/1/15 5:00,2023/1/15 6:00,1889
2023/1/15 6:00,2023/1/15 7:00,2310
2023/1/15 7:00,2023/1/15 8:00,2734
2023/1/15 8:00,2023/1/15 9:00,3078
2023/1/15 9:00,2023/1/15 10:00,3325
2023/1/15 10:00,2023/1/15 11:00,3595
2023/1/15 11:00,2023/1/15 12:00,3842
2023/1/15 12:00,2023/1/15 13:00,3977
2023/1/15 13:00,2023/1/15 14:00,4091
2023/1/15 14:00,2023/1/15 15:00,4163
