Start time UTC,End time UTC,Solar Panel (MWh/h)
2023/1/21 0:00,2023/1/21 1:00,0
2023/1/21 1:00,2023/1/21 2:00,0
2023/1/21 2:00,2023/1/21 3:00,0
2023/1/21 3:00,2023/1/21 4:00,0
2023/1/21 4:00,2023/1/21 5:00,0
2023/1/21 5:00,2023/1/21 6:00,0
2023/1/21 6:00,2023/1/21 7:00,0
2023/1/21 7:00,2023/1/21 8:00,0.2
2023/1/21 8:00,2023/1/21 9:00,16.8
2023/1/21 9:00,2023/1/21 10:00,34.2
2023/1/21 10:00,2023/1/21 11:00,36.1
2023/1/21 11:00,2023/1/21 12:00,30.5
2023/1/21 12:00,2023/1/21 13:00,25.2
2023/1/21 13:00,2023/1/21 14:00,0.5
2023/1/21 14:00,2023/1/21 15:00,0
2023/1/21 15:00,2023/1/21 16:00,0
2023/1/21 16:00,2023/1/21 17:00,0
2023/1/21 17:00,2023/1/21 18:00,0
2023/1/21 18:00,2023/1/21 19:00,0
2023/1/21 19:00,2023/1/21 20:00,0
2023/1/21 20:00,2023/1/21 21:00,0
2023/1/21 21:00,2023/1/21 22:00,0
2023/1/21 22:00,2023/1/21 23:00,0
2023/1/21 23:00,2023/1/22 0:00,0
2023/1/22 0:00,2023/1/22 1:00,0
2023/1/22 1:00,2023/1/22 2:00,0
2023/1/22 2:00,2023/1/22 3:00,0
2023/1/22 3:00,2023/1/22 4:00,0
2023/1/22 4:00,2023/1/22 5:00,0
2023/1/22 5:00,2023/1/22 6:00,0
2023/1/22 6:00,2023/1/22 7:00,0
2023/1/22 7:00,2023/1/22 8:00,0
2023/1/22 8:00,2023/1/22 9:00,9
2023/1/22 9:00,2023/1/22 10:00,19.4
2023/1/22 10:00,2023/1/22 11:00,24.4
2023/1/22 11:00,2023/1/22 12:00,24.1
2023/1/22 12:00,2023/1/22 13:00,13.7
2023/1/22 13:00,2023/1/22 14:00,0
2023/1/22 14:00,2023/1/22 15:00,0
2023/1/22 15:00,2023/1/22 16:00,0
2023/1/22 16:00,2023/1/22 17:00,0
2023/1/22 17:00,2023/1/22 18:00,0
2023/1/22 18:00,2023/1/22 19:00,0
2023/1/22 19:00,2023/1/22 20:00,0
2023/1/22 20:00,2023/1/22 21:00,0
2023/1/22 21:00,2023/1/22 22:00,0
2023/1/22 22:00,2023/1/22 23:00,0
2023/1/22 23:00,2023/1/23 0:00,0
2023/1/23 0:00,2023/1/23 1:00,0
2023/1/23 1:00,2023/1/23 2:00,0
2023/1/23 2:00,2023/1/23 3:00,0
2023/1/23 3:00,2023/1/23 4:00,0
2023/1/23 4:00,2023/1/23 5:00,0
2023/1/23 5:00,2023/1/23 6:00,0
2023/1/23 6:00,2023/1/23 7:00,0
2023/1/23 7:00,2023/1/23 8:00,0
2023/1/23 8:00,2023/1/23 9:00,9.9
